No,Category,Evaluation Criteria,VL (1),L (2),A (3),H (4),VH (5),NA
1,Core Competency,Efforts of self development in his/her specialization,1,2,3,4,5,NA
2,Core Competency,Adequacy of subject matter knowledge,1,2,3,4,5,NA
3,Core Competency,Professional Skill / Teaching Methodology,1,2,3,4,5,NA
4,Core Competency,Willingness to accept additional teaching assignments when compelling situation arises in the department,1,2,3,4,5,NA
5,Core Competency,Effectiveness as a mentor in cooperative learning internship etc...,1,2,3,4,5,NA
6,Core Competency,Active participation in improvement of teaching-learning process seminars workshop symposia and reviewing of teaching materials (curriculum),1,2,3,4,5,NA
7,Core Competency,Participation in community service affairs and volunteer activities and willingness to participate in activities other than regular teaching (mentorship),1,2,3,4,5,NA
8,Core Competency,Identifying priority areas in one's discipline and pursuing research in that area,1,2,3,4,5,NA
9,Core Competency,Participation in research project and project proposal development,1,2,3,4,5,NA
10,Core Competency,Performance as an academic advisor,1,2,3,4,5,NA
11,Professional Competence,Participation in problem identification and solving at department/college/institution,1,2,3,4,5,NA
12,Professional Competence,Participation in Comprehensive Continuous Professional Development /CCPD HDP ELIP,1,2,3,4,5,NA
13,Professional Competence,Continuous assessment implementation,1,2,3,4,5,NA
14,Professional Competence,Providing and reporting tutorial activities designed for the students,1,2,3,4,5,NA
15,Time Management,Executing assigned classes/invigilation on time.,1,2,3,4,5,NA
16,Time Management,Notifying and implementing consultation timely and Giving timely feedback to students,1,2,3,4,5,NA
17,Time Management,"Meeting deadlines (in reporting, SIMS result feeding, submission of grade/documents...etc...)",1,2,3,4,5,NA
18,Ethical Competence,Showing concern for the use of resources of the department and the University,1,2,3,4,5,NA
19,Ethical Competence,"Willingness and participation in committee works at department /University level and Having positive attitude to work with others, team spirit",1,2,3,4,5,NA
20,Ethical Competence,"His/her professional ethics and being a role model (dressing, hair style, personality, addiction...)",1,2,3,4,5,NA
21,Ethical Competence,Providing and reporting tutorial activities designed for the students,1,2,3,4,5,45
