No,Category,Evaluation Criteria,VL (1),L (2),A (3),H (4),VH (5),NA
1,Core Competency: Subject matter,Contribution in preparing and searching for teaching materials,1,2,3,4,5,NA
2,Core Competency: Subject matter,Continuous update of the subject matter,1,2,3,4,5,NA
3,Core Competency: Subject matter,Delivering seminars that are relevant to his teaching subject,1,2,3,4,5,NA
4,Core Competency: Subject matter,Level of his/her subject matter knowledge and skill,1,2,3,4,5,NA
5,Core Competency: Research and Community Services,Willingness and level of engagement in community service and volunteer activities,1,2,3,4,5,NA
6,Core Competency: Research and Community Services,Participation on seminars/workshops at department/faculty/institution level during the year,1,2,3,4,5,NA
7,Core Competency: Research and Community Services,Identifying priority areas in one's discipline and pursuing research in that area and Willingness to help colleagues in identifying areas of research and proposal development,1,2,3,4,5,NA
8,Professional Competency,Guidance and counseling role to students,1,2,3,4,5,NA
9,Professional Competency,Contributing constructive ideas and activities that improve the teaching learning process.,1,2,3,4,5,NA
10,Professional Competency,Participation in problem identification and solving at department/college/institution,1,2,3,4,5,NA
11,Professional Competency,"Participation in Comprehensive Continuous Professional Development / CCPD, HDP, ELIP",1,2,3,4,5,NA
12,Professional Competency,Willingness to actively participate in cooperative learning and team teaching activities and preparedness to implement change tools,1,2,3,4,5,NA
13,Ethical Competency,Willingness to participate and level of commitment in committee works,1,2,3,4,5,NA
14,Ethical Competency,Willingness to share university resources with other colleagues,1,2,3,4,5,NA
15,Ethical Competency,Showing cordiality to others respecting ideas of others,1,2,3,4,5,NA
16,Ethical Competency,Having positive attitude to work with others (team spirit),1,2,3,4,5,NA
17,Ethical Competency,Level of respect to rules regulations and guidelines of the institution,1,2,3,4,5,NA
18,Ethical Competency,"His/her discipline (dressing, addictions, personality etc...)",1,2,3,4,5,NA
19,Time Management,Time management in department Affairs and in teaching learning activities,1,2,3,4,5,NA
20,Time Management,Time utilization for consultation hours,1,2,3,4,5,NA
